ds;Open;High;Low;Vol.;Change %;Year;Month;Day;unique_id;Day name;y
2014-07-17 00:00:00;4345.98;4362.28;4311.12;102.51M;-0.0121;2014;7;17;1;5;4316.12
2014-07-18 00:00:00;4296.84;4335.31;4284.42;111.18M;0.0044;2014;7;18;2;6;4335.31
2014-07-19 00:00:00;4296.84;4335.31;4284.42;111.18M;0.0044;2014;7;18;3;6;4328.898412
2014-07-20 00:00:00;4296.84;4335.31;4284.42;111.18M;0.0044;2014;7;18;4;6;4308.414831
2014-07-21 00:00:00;4334.62;4336.79;4295.36;78.39M;-0.0071;2014;7;21;5;2;4304.74
2014-07-22 00:00:00;4323.71;4373.7;4315.66;99.48M;0.015;2014;7;22;6;3;4369.52
2014-07-23 00:00:00;4360.2;4396.7;4356.3;85.00M;0.0016;2014;7;23;7;4;4376.32
2014-07-24 00:00:00;4376.69;4415.29;4347.76;109.27M;0.0078;2014;7;24;8;5;4410.65
2014-07-25 00:00:00;4390.85;4395.38;4317.49;96.45M;-0.0182;2014;7;25;9;6;4330.55
2014-07-26 00:00:00;4390.85;4395.38;4317.49;96.45M;-0.0182;2014;7;25;10;6;4328.740404
2014-07-27 00:00:00;4390.85;4395.38;4317.49;96.45M;-0.0182;2014;7;25;11;6;4333.895707
2014-07-28 00:00:00;4352.5;4358.47;4308.26;80.02M;0.0033;2014;7;28;12;2;4344.77
2014-07-29 00:00:00;4349.43;4389.76;4332.3;85.74M;0.0048;2014;7;29;13;3;4365.58
2014-07-30 00:00:00;4360.18;4378.7;4303.66;117.32M;-0.0122;2014;7;30;14;4;4312.3
2014-07-31 00:00:00;4335.2;4337.74;4238.27;222.49M;-0.0153;2014;7;31;15;5;4246.14
2014-08-01 00:00:00;4236.35;4243.07;4182.02;224.46M;-0.0102;2014;8;1;16;6;4202.78
2014-08-02 00:00:00;4236.35;4243.07;4182.02;224.46M;-0.0102;2014;8;1;17;6;4199.39496
2014-08-03 00:00:00;4236.35;4243.07;4182.02;224.46M;-0.0102;2014;8;1;18;6;4206.363002
2014-08-04 00:00:00;4222.78;4240.12;4204.66;127.19M;0.0034;2014;8;4;19;2;4217.22
2014-08-05 00:00:00;4240.57;4252.68;4217.62;132.16M;0.0037;2014;8;5;20;3;4232.88
2014-08-06 00:00:00;4207.2;4222.76;4169.8;137.28M;-0.0061;2014;8;6;21;4;4207.14
2014-08-07 00:00:00;4209.61;4209.61;4146.27;135.52M;-0.0136;2014;8;7;22;5;4149.83
2014-08-08 00:00:00;4114.09;4165.26;4109.31;124.10M;-0.0005;2014;8;8;23;6;4147.81
2014-08-09 00:00:00;4114.09;4165.26;4109.31;124.10M;-0.0005;2014;8;8;24;6;4162.906276
2014-08-10 00:00:00;4114.09;4165.26;4109.31;124.10M;-0.0005;2014;8;8;25;6;4184.038723
2014-08-11 00:00:00;4182.75;4206.27;4165.35;97.12M;0.012;2014;8;11;26;2;4197.7
2014-08-12 00:00:00;4188.05;4193.15;4150.9;93.58M;-0.0085;2014;8;12;27;3;4162.16
2014-08-13 00:00:00;4187.46;4204.38;4178.79;96.50M;0.0078;2014;8;13;28;4;4194.79
2014-08-14 00:00:00;4176.93;4217.39;4166.18;88.59M;0.0025;2014;8;14;29;5;4205.43
2014-08-15 00:00:00;4216.9;4256.34;4168.08;110.74M;-0.0074;2014;8;15;30;6;4174.36
2014-08-16 00:00:00;4216.9;4256.34;4168.08;110.74M;-0.0074;2014;8;15;31;6;4190.098052
2014-08-17 00:00:00;4216.9;4256.34;4168.08;110.74M;-0.0074;2014;8;15;32;6;4209.415595
2014-08-18 00:00:00;4227.88;4241.86;4211.38;73.94M;0.0135;2014;8;18;33;2;4230.65
2014-08-19 00:00:00;4243.83;4258.83;4235.28;65.90M;0.0056;2014;8;19;34;3;4254.45
2014-08-20 00:00:00;4250.28;4254.84;4216.96;70.07M;-0.0032;2014;8;20;35;4;4240.79
2014-08-21 00:00:00;4247.32;4292.93;4231.66;89.02M;0.0123;2014;8;21;36;5;4292.93
2014-08-22 00:00:00;4291.06;4291.17;4233.15;88.09M;-0.0093;2014;8;22;37;6;4252.8
2014-08-23 00:00:00;4291.06;4291.17;4233.15;88.09M;-0.0093;2014;8;22;38;6;4273.890332
2014-08-24 00:00:00;4291.06;4291.17;4233.15;88.09M;-0.0093;2014;8;22;39;6;4303.79699
2014-08-25 00:00:00;4299.5;4342.11;4286.61;66.62M;0.021;2014;8;25;40;2;4342.11
2014-08-26 00:00:00;4336.29;4395.94;4333.12;102.35M;0.0118;2014;8;26;41;3;4393.41
2014-08-27 00:00:00;4384.53;4401.52;4379.8;88.62M;0.0004;2014;8;27;42;4;4395.26
2014-08-28 00:00:00;4385.71;4393.58;4352.93;110.10M;-0.0066;2014;8;28;43;5;4366.04
2014-08-29 00:00:00;4380.61;4393.6;4337.13;102.40M;0.0034;2014;8;29;44;6;4381.04
2014-08-30 00:00:00;4380.61;4393.6;4337.13;102.40M;0.0034;2014;8;29;45;6;4380.804341
2014-08-31 00:00:00;4380.61;4393.6;4337.13;102.40M;0.0034;2014;8;29;46;6;4380.34927
2014-09-01 00:00:00;4383.62;4391.08;4358.26;71.67M;-0.0003;2014;9;1;47;2;4379.73
2014-09-02 00:00:00;4389.4;4403.22;4373.32;88.31M;-0.0003;2014;9;2;48;3;4378.33
2014-09-03 00:00:00;4394.66;4443.53;4394.07;119.61M;0.0099;2014;9;3;49;4;4421.87
2014-09-04 00:00:00;4409.16;4509.58;4401.25;152.52M;0.0165;2014;9;4;50;5;4494.94
2014-09-05 00:00:00;4492.91;4498.16;4470.2;105.97M;-0.0019;2014;9;5;51;6;4486.49
2014-09-06 00:00:00;4492.91;4498.16;4470.2;105.97M;-0.0019;2014;9;5;52;6;4483.002468
2014-09-07 00:00:00;4492.91;4498.16;4470.2;105.97M;-0.0019;2014;9;5;53;6;4480.086895
2014-09-08 00:00:00;4484.4;4489.02;4463.79;84.58M;-0.0026;2014;9;8;54;2;4474.93
2014-09-09 00:00:00;4465.1;4482.91;4446.04;94.41M;-0.005;2014;9;9;55;3;4452.37
2014-09-10 00:00:00;4442.69;4459.78;4434.93;80.39M;-0.0004;2014;9;10;56;4;4450.79
2014-09-11 00:00:00;4463;4466.15;4411.07;90.35M;-0.0022;2014;9;11;57;5;4440.9
2014-09-12 00:00:00;4449.68;4452.31;4419.44;77.01M;0.0002;2014;9;12;58;6;4441.7
2014-09-13 00:00:00;4449.68;4452.31;4419.44;77.01M;0.0002;2014;9;12;59;6;4439.055608
2014-09-14 00:00:00;4449.68;4452.31;4419.44;77.01M;0.0002;2014;9;12;60;6;4434.397115
2014-09-15 00:00:00;4425.63;4440.92;4418.73;77.01M;-0.0029;2014;9;15;61;2;4428.63
2014-09-16 00:00:00;4426.15;4426.15;4391.08;86.25M;-0.0044;2014;9;16;62;3;4409.15
2014-09-17 00:00:00;4432.65;4444.83;4421.94;103.39M;0.005;2014;9;17;63;4;4431.41
2014-09-18 00:00:00;4440.33;4470.48;4435.66;104.38M;0.0075;2014;9;18;64;5;4464.7
2014-09-19 00:00:00;4491.54;4492.39;4451.91;158.93M;-0.0008;2014;9;19;65;6;4461.22
2014-09-20 00:00:00;4491.54;4492.39;4451.91;158.93M;-0.0008;2014;9;19;66;6;4456.156232
2014-09-21 00:00:00;4491.54;4492.39;4451.91;158.93M;-0.0008;2014;9;19;67;6;4449.854785
2014-09-22 00:00:00;4446.91;4464.31;4434.58;86.94M;-0.0042;2014;9;22;68;2;4442.55
2014-09-23 00:00:00;4430.3;4430.78;4351.3;110.55M;-0.0187;2014;9;23;69;3;4359.35
2014-09-24 00:00:00;4364;4416.63;4347.05;98.86M;0.0125;2014;9;24;70;4;4413.72
2014-09-25 00:00:00;4413.64;4430.5;4346.71;118.48M;-0.0132;2014;9;25;71;5;4355.28
2014-09-26 00:00:00;4361.37;4411.99;4340.63;96.00M;0.0091;2014;9;26;72;6;4394.75
2014-09-27 00:00:00;4361.37;4411.99;4340.63;96.00M;0.0091;2014;9;26;73;6;4387.105245
2014-09-28 00:00:00;4361.37;4411.99;4340.63;96.00M;0.0091;2014;9;26;74;6;4365.045244
2014-09-29 00:00:00;4389.83;4401.07;4334.01;84.70M;-0.0083;2014;9;29;75;2;4358.07
2014-09-30 00:00:00;4375.38;4435.07;4369.26;126.21M;0.0133;2014;9;30;76;3;4416.24
2014-10-01 00:00:00;4400.61;4427.76;4354.14;150.17M;-0.0115;2014;10;1;77;4;4365.27
2014-10-02 00:00:00;4361.83;4371.06;4242.67;168.75M;-0.0281;2014;10;2;78;5;4242.67
2014-10-03 00:00:00;4280.22;4297.41;4260.63;105.83M;0.0092;2014;10;3;79;6;4281.74
2014-10-04 00:00:00;4280.22;4297.41;4260.63;105.83M;0.0092;2014;10;3;80;6;4297.707048
2014-10-05 00:00:00;4280.22;4297.41;4260.63;105.83M;0.0092;2014;10;3;81;6;4305.474805
2014-10-06 00:00:00;4317.92;4319.31;4279.49;103.76M;0.0011;2014;10;6;82;2;4286.52
2014-10-07 00:00:00;4277.41;4277.41;4208.66;140.46M;-0.0181;2014;10;7;83;3;4209.14
2014-10-08 00:00:00;4198.02;4213.11;4153.68;145.71M;-0.0097;2014;10;8;84;4;4168.12
2014-10-09 00:00:00;4222.98;4222.98;4123.18;191.32M;-0.0064;2014;10;9;85;5;4141.45
2014-10-10 00:00:00;4114.52;4125.13;4065.5;213.91M;-0.0164;2014;10;10;86;6;4073.71
2014-10-11 00:00:00;4114.52;4125.13;4065.5;213.91M;-0.0164;2014;10;10;87;6;4069.869512
2014-10-12 00:00:00;4114.52;4125.13;4065.5;213.91M;-0.0164;2014;10;10;88;6;4073.482703
2014-10-13 00:00:00;4033.74;4104;4030.57;136.27M;0.0012;2014;10;13;89;2;4078.7
2014-10-14 00:00:00;4053.08;4097.9;4012.82;157.16M;0.0023;2014;10;14;90;3;4088.25
2014-10-15 00:00:00;4090.48;4096.58;3933.16;225.46M;-0.0363;2014;10;15;91;4;3939.72
2014-10-16 00:00:00;3968.41;3987.14;3789.11;304.17M;-0.0054;2014;10;16;92;5;3918.62
2014-10-17 00:00:00;3934.19;4040.7;3916.8;230.36M;0.0292;2014;10;17;93;6;4033.18
2014-10-18 00:00:00;3934.19;4040.7;3916.8;230.36M;0.0292;2014;10;17;94;6;4028.73258
2014-10-19 00:00:00;3934.19;4040.7;3916.8;230.36M;0.0292;2014;10;17;95;6;3987.10275
2014-10-20 00:00:00;4023.76;4030.15;3962.06;143.99M;-0.0104;2014;10;20;96;2;3991.24
2014-10-21 00:00:00;3968.79;4081.73;3965.46;159.67M;0.0225;2014;10;21;97;3;4081.24
2014-10-22 00:00:00;4090.94;4110.48;4064.08;142.19M;0.0058;2014;10;22;98;4;4105.09
2014-10-23 00:00:00;4086.02;4166.46;4047.32;162.95M;0.0128;2014;10;23;99;5;4157.68
